title,donor/recipient
Greater Mekong Subregion Southern Coastal Corridor (Cambodia and Viet Nam),ASDB/Cambodia
Greater Mekong Subregion Southern Coastal Corridor (Cambodia and Viet Nam),ASDF/Cambodia
Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia,ASDF/Cambodia
Greater Mekong Subregion: Phnom Penh to Ho Chi Minh City Highway - Viet Nam Component,ASDF/Viet Nam
Greater Mekong Subregion: Phnom Penh to Ho Chi Minh City Highway - Cambodia Component,ASDF/Cambodia
Greater Mekong Subregion Northern Power Transmission,ASDB/Laos
Greater Mekong Subregion: Nam Theun 2 Hydropower Development Phase II  ,ASDB/Laos
Greater Mekong Subregion: Nam Theun 2 Hydropower Development,ASDB/Laos
Greater Mekong Subregion Nam Theun 2 Hydroelectric â€“ Public Sector Loan,ASDB/Laos
Greater Mekong Subregion Kunmingâ€“Hai Phong Transport Corridor: Yen Vienâ€“Lao Cai Railway Upgrading,ASDF/Viet Nam
Greater Mekong Subregion: Kunmingâ€“Haiphong Transport Corridor Noi Baiâ€“Lao Cai Highway Technical Assistance,ASDB/Viet Nam
Greater Mekong Subregion: Kunmingâ€“Hai Phong Transport Corridorâ€“Noi Baiâ€“Lao Cai Highway,ASDF/Viet Nam
Greater Mekong Subregion: Kunmingâ€“Hai Phong Transport Corridorâ€“Noi Baiâ€“Lao Cai Highway,ASDB/Viet Nam
Greater Mekong Subregion (GMS): Cambodia Road Improvement,ASDF/Cambodia
Greater Mekong Subregion - East-West Transport Corridor - Viet Nam,ASDF/Viet Nam
Greater Mekong Subregion - East-West Transport Corridor - Lao PDR,ASDF/Laos
Greater Maseru Sanitation Project (Phase 2),Kuwait/Lesotho
Greater Khulna Power Distribution Project,OPEC/Bangladesh
Greater Khulna Power Distribution Project,IDA/Bangladesh
Greater Istanbul Water Supply (Yesilcay System) Project,Kuwait/Turkey
Greater Istanbul Water Supply Project - Yesil Cay System,Kuwait/Turkey
Greater Ipoh Water Supply Project,ASDB/Malaysia
Greater Dez Irrigation Project,IBRD/Iran
GREATER DACCA GAS DISTRIBUTION PROJECT,ASDF/Bangladesh
GREATER DACCA GAS DISTRIBUTION PROJECT,ASDB/Bangladesh
Greater Colombo Wastewater Management Sector Review,ASDB/Sri Lanka
Greater Colombo Wastewater,ASDB/Sri Lanka
Greater Chittagong Power Transmission and Distribution Development Project (Phase III) (Second Loan),Kuwait/Bangladesh
Greater Chittagong Power Transmission and Distribution Development Project (Phase III),Kuwait/Bangladesh
Greater Casablanca Water Supply Project (First Stage),Kuwait/Morocco
Greater Cairo Waste Water Project (Al-Maadi Tunnel),Kuwait/Egypt
Greater Cairo Urban Development Project,IBRD/Egypt
Greater Barisal Rural Development,OPEC/Bangladesh
Greater Banjul Water Supply,AFDF/Gambia
Greater Amman Water Supply and Sewerage Project,IBRD/Jordan
Greater Aden Water Supply (Second Stage),Kuwait/South Yemen
Greater Aden Water Supply Project (02),IDA/Yemen
Greater Aden Water Supply Project,OPEC/South Yemen
Greater Aden Water Supply Project,IDA/Yemen
Greater Aden Second Water Supply,AFESD/South Yemen
Graphite Mining,ASDB/Sri Lanka
Graphite Market Study,ASDB/Sri Lanka
Grant under the Post-Conflict Countries Facility (PCCF),AFDF/Burundi
Grant from the SRF to Finance the Cholera Control Program,AFDB/Madagascar
Grant for Health and Education Sectors,United Arab Emirates/Comoros
Grant,United States/Malawi
Grand River North-West Bridge,NTF/Mauritius
Grandpass Thermal Project,IBRD/Sri Lanka
Grand Lido (Rutland Point) Hotel (Second Loan),CDB/Jamaica
Grandi Stazioni Ceska Republika,EBRD/Czech Republic
Grand Hotel Royal,EBRD/Hungary
[Grand Duchy of Lithuania's foreign policy instruments: The earliest Lithuanian embassy metric book and relations with the Russian state],Lithuania/Belarus
Grand Castries Transportation Project,Kuwait/St. Lucia
Grand Bereby Rubber Project (02),IBRD/Cote d'Ivoire
Grand Bereby Rubber Project (01),IBRD/Cote d'Ivoire
GraÃ±a & Montero Bond Guarantee,IADB/Peru
Grameenphone Telecommunications Expansion,ASDB/Bangladesh
GrameenPhone Telecommunications,ASDB/Bangladesh
GrameenPhone Limited will establish a nationwide GSM cellular network for 300,IFC/Bangladesh
Grameen Bank Phase III Project,IFAD/Bangladesh
Grameen Bank,IFAD/Bangladesh
Grain warehouse receipt programme,EBRD/Ukraine
Grain Storage Project and Sugar Project,Kuwait/Sudan
Grain Storage Project (02),IDA/Myanmar
Grain Storage Project,IBRD/Nicaragua
Grain Storage Project,Saudi Arabia/Ghana
Grain Storage Project,IDA/Myanmar
Grain Storage Project,IBRD/Panama
Grain Storage Project,IBRD/Iraq
Grain Storage Project,IDA/Pakistan
Grain Storage Project,IDA/Nepal
Grain Storage Project,IBRD/Brazil
International School for Banking and Finance,EBRD/Soviet Union
International Road Corridor Project,EBRD/Slovakia
International Rice Research Institute (IRRI): Programme for Managing Rice Landscapes in the Marginal Uplands for Household Food Security and Environmental Sustainability,IFAD/Global
International Rice Research Institute (IRRI); Los Banos,IFAD/Philippines
International Rice Research Institute (IRRI) Los Banos,IFAD/Philippines
International Rice Research Ins1itute (IRRI),IFAD/Philippines
International revenue bond for Mexico City-Toluca toll road,IFC/Mexico
International Public Administration Summer School,Latvia/Georgia
International Potato Centre (CIP); Lima,IFAD/Peru
International Potato Centre (CIP) Lima,IFAD/Peru
INTERNATIONAL PERSPECTIVE INTER-CULTURAL: REFLECTIONS AND EVIDENCE FROM LATIN AMERICA,Colombia/Ecuador
International Organizations ,Chile/Jamaica
International Network for Bamboo and Rattan: Programme for Enhanced Bambooand Rattan-Based Smallholder Livelihood Opportunities (INBAR II),IFAD/Global
International Network for Bamboo and Rattan (INBAR),IFAD/Global
International Network for Bamboo and Rattan (INBAR),IFAD/Global
International Negotiations and Promotion of Exports  ,Chile/Honduras
International Negotiations,Chile/Panama
International Negotiations,Chile/Panama
International Negotiation and export promotion,Chile/El Salvador
International Moscow Bank Recapitalisation,EBRD/Russia
International Moscow Bank (IMB) Co-financing Line,EBRD/Russia
International Moscow Bank (IMB),EBRD/Russia
International Moscow Bank Framework Facility,EBRD/Russia
International Moscow Bank Credit Line,EBRD/Russia
International Moscow Bank,IFC/Russia
International Moscow Bank,EBRD/Russia
International Moscow Bank,EBRD/Russia
International Mortgage Bank of Ukraine,EBRD/Ukraine
International Medical Centre,EBRD/Azerbaijan
International Luggage Manufacturing Company,IFC/Jordan
International Livestock Research Institute: Enhancing Livelihoods of Poor Livestock Keepers through Increased Use of Fodder,IFAD/Global
International Livestock Centre for Africa (ILCA); Addis Ababa,IFAD/Ethiopia
International Livestock Centre for Africa (ILCA),IFAD/Ethiopia
International Livestock Centre for Africa (ILCA) Addis Ababa,IFAD/Ethiopia
International Leasing and Finance Co. Ltd,IFC/Nepal
International Land Coalition: Strengthening the performance of the International Land Coalition (ILC),IFAD/Global
International Land Coalition: Programme to Strengthen the Secure Access by the Rural Poor to Land and Related Support Services,IFAD/Global
International Investment Forum EURO 2012 - new economic perspectives,Poland/Ukraine
International Institute of Tropical Agriculture (IITA) Ibadan,IFAD/Nigeria
International Institute for Tropical Agriculture (UTA) Ibadan,IFAD/Nigeria
International Institute for Tropical Agriculture (IITA); Ibadan,IFAD/Nigeria
International Institute for Tropical Agriculture (IITA); Ibadan,IFAD/Nigeria
International Institute for Tropical Agriculture (IITA); Ibadan,IFAD/Nigeria
International Institute for Tropical Agriculture (IITA),IFAD/Nigeria
International Institute for Tropical Agriculture (IITA) Ibadan,IFAD/Nigeria
International Institute for Tropical Agriculture (IITA) Ibadan,IFAD/Nigeria
To help establish an Islamic cemetery,OPEC/Austria
To help establish an advanced law degree program,OPEC/Egypt
To help earthquake victims,OPEC/Indonesia
To help earthquake victims,OPEC/Iran
To help earthquake and tsunami victims,OPEC/Indonesia
To help disadvantaged youth in Kenya,OPEC/Kenya
To help develop micro-finance services,OPEC/Costa Rica
To help cyclone victims,OPEC/Bangladesh
To help alleviate social and economic hardship among Palestinians affected by the separation wall,OPEC/Palestinian Adm. Areas
Togliatti Urban Transport Project,EBRD/Russia
Togliatti Azot,EBRD/Russia
Togliattiazot,EBRD/Russia
TOGETHER - youth exchange - school partners,Poland/Ukraine
Together towards development Strengthening civil society institutions in Moldova by drawing on Polish experiences in the realm of co-operation between local administration and NGOs,Poland/Moldova
TOGETHER -- Polish-Ukrainian youth exchange programme - partnership 2007,Poland/Ukraine
Together,Hungary/Bosnia-Herzegovina
Together it is easier - traineeship programme for young Belarusian democrats,Poland/Belarus
Together in Europe: student exchange programmes between Poland and Ukraine,Poland/Ukraine
Together in Europe,Poland/Ukraine
Together in Europe,Poland/Ukraine
Together for local communities,Poland/Belarus
Together for development,Poland/Ukraine
Together for children - without limits,Hungary/Serbia and Montenegro
Together against violence - a conference for representatives of Ukrainian local education authorities,Poland/Ukraine
To fund OFID/UNODC project,OPEC/Global
To fund OFID/UNDP project,OPEC/Global
To finance the services of an expert for the Ministry of Planning,Kuwait/Niger
to finance the costs of soil survey and hydraulic studies supplementing the subsequent project preparation,IFAD/Viet Nam
to finance the costs of sector study of the dairy industry,IFAD/Philippines
To finance a study on the prospects for sustained economic growth and development in the Occupied Territories of Palestine,OPEC/Palestinian Adm. Areas
To expand a women's vocational training center,OPEC/Paraguay
To expand a vocational training center for women,OPEC/Bolivia
To expand a district hospital,OPEC/Togo
To establish the Women's Health Counseling Center in Jericho,OPEC/Palestinian Adm. Areas
To establish the Al-Najah National University College of Technology (Phase II),OPEC/Palestinian Adm. Areas
To Establish Public-Private Partnerships for Railways,ASDB/Sri Lanka
To establish health care centers in rural areas,OPEC/Peru
To establish a community house,OPEC/Nepal
To equip a vocational training center,OPEC/Guinea
To equip and upgrade laboratories and research facilities,OPEC/Palestinian Adm. Areas
Toepfer working capital revolving facility,EBRD/Ukraine
Toepfer Ukraine,EBRD/Ukraine
Toepfer,EBRD/Ukraine
To enhance the health impact of public and private health services amongst target communities at risk and vulnerable to HIV,GFATM/Pakistan
To enhance the health impact of public and private health services amongst target communities at risk and vulnerable to HIV,GFATM/Pakistan
To enhance the health impact of public and private health services amongst target communities at risk and vulnerable to HIV,GFATM/Pakistan
To Encourage dialogye across the generations,OPEC/Global
To Develop a National Poverty Reduction Strategy,ASDB/Tajikistan
To develop a drug prevention education program,OPEC/Bolivia
To deliver medical equipment to hospitals,OPEC/Palestinian Adm. Areas
to decrease the damage done by the flood in Moldova,Hungary/Moldova
Today's schools and civic education,Latvia/Ukraine
Tocumen International Airport Project,IBRD/Panama
To co-sponsor the 6th Arab Conference,OPEC/Global
To construct a medical center in Berkayel,OPEC/Lebanon
To construct a family home for orphans in Ukraine,OPEC/Ukraine
Tocoma Hydroelectric Plant,IADB/Venezuela
No Title,IMF/Trinidad & Tobago
No Title,IMF/Latvia
No Title,IMF/Ecuador
No Title,Kuwait/Burkina Faso
No Title,CDB/St. Kitts & Nevis
No Title,CDB/Barbados
No Title,Kuwait/Morocco
No Title,CDB/Grenada
No Title,IMF/Uganda
No Title,IMF/Iceland
No Title,CDB/St. Lucia
No Title,CDB/St. Kitts & Nevis
No Title,CDB/Jamaica
No Title,CDB/Dominica
No Title,CDB/St. Kitts & Nevis
No Title,IMF/Mali
No Title,IMF/Latvia
No Title,CDB/Antigua & Barbuda
No Title,IMF/Burundi
No Title,CDB/Dominica
No Title,CDB/Guyana
No Title,IMF/Morocco
No Title,IMF/Niger
No Title,Kuwait/Maldives
No Title,CDB/Montserrat
No Title,IMF/Kenya
No Title,IMF/Ghana
No Title,IMF/Central African Rep.
No Title,CDB/Trinidad & Tobago
No Title,AFDB/Guinea
No Title,IMF/Mexico
No Title,IMF/Jamaica
No Title,IMF/Kenya
No Title,IMF/Albania
No Title,IMF/Morocco
No Title,CDB/St.Vincent & Grenadines
No Title,IMF/Bolivia
No Title,IMF/Algeria
No Title,IMF/Mongolia
No Title,IMF/Turkey
No Title,IMF/Panama
No Title,IMF/Central African Rep.
No Title,CDB/Grenada
No Title,IMF/Haiti
No Title,IMF/Gabon
No Title,IMF/Portugal
No Title,IMF/Togo
No Title,IMF/Brazil
No Title,Kuwait/Algeria
No Title,IMF/Mauritania
No Title,IMF/Kenya
No Title,Kuwait/Gambia
No Title,Kuwait/Jordan
No Title,IMF/Morocco
No Title,ASDB/Samoa
No Title,CDB/Barbados
No Title,IMF/Guinea
No Title,IMF/El Salvador
No Title,IMF/Kyrgyz Republic
No Title,IMF/Burundi
No Title,CDB/Dominica
No Title,CDB/Turks & Caicos Islands
No Title,IMF/Iraq
No Title,IMF/Lesotho
No Title,IMF/Nicaragua
No Title,IMF/Ecuador
No Title,ASDB/Laos
No Title,IMF/Philippines
No Title,IMF/Burundi
No Title,CDB/St. Kitts & Nevis
No Title,IMF/Niger
No Title,ASDB/Bangladesh
No Title,Kuwait/Mali
No Title,CDB/Belize
No Title,CDB/St. Kitts & Nevis
No Title,CDB/Grenada
Special Restructuring Programme,EBRD/Latvia
Special Rehabilitation Assistance,ASDF/Cambodia
Special Project Implementation Assistance,ASDB/Indonesia
Special Project Implementation Assistance,ASDB/Philippines
Special Programme for Soil and Water Phase II,IFAD/Burkina Faso
Special program for refugees and displaced persons in the Yemen Arab Republic (YAR),OPEC/Yemen
Special program for Mozambican refugees in Tanzania,OPEC/Tanzania
Special Program for Food Security Pilot Project,AFDF/Ghana
Special Program for Food Secuirty Pilot Project,AFDF/Tanzania
Special policies for vulnerable groups ,Chile/Costa Rica
Special Line of Credit:exp Capital Good,IADB/Brazil
Specialized investment fund with a technical assistance component designed to promote the use of solar photovoltaic systems in off-grid applications in developing countries. IFC approved a grant for business development services and an equity investment i,IFC/Global
Specialized Investment Compounds Co. Plc,IFC/Jordan
SPECIAL INVESTIGATIONS AGAINST DRUG TRAFFICKING,Colombia/Paraguay
Special Interventions Project,IBRD/Papua New Guinea
Special Interventions,ASDF/Papua New Guinea
Special Food Security Program--Pilot Project,AFDF/Cameroon
Special Food Security Program-- Pilot Project,AFDF/Mauritania
Special Food Security Program-- Pilot Project,AFDF/Guinea
Special Food Security Program-- Pilot Project,AFDF/Malawi
Special Food Security Program -- Pilot Project,AFDF/Mozambique
Special Financial Review of the Agricultural Development Bank of Nepal,ASDB/Nepal
Special Development Activities,CDB/Barbados
Special Development Activities,CDB/Jamaica
Integration between regions garden greenhouses.,Chile/Argentina
Integration among youth NGOs in the southern districts of the Russian Federation,Poland/Russia
Integrating the Poor in Regional Trade through Standard-Setting for Private Sector Development,ASDB/Laos
Integrating the Poor in Regional Trade Through Industrial Standard Development-Phase II,ASDB/Laos
Integrating Microenterprise Production,IADB/Chile
Integrating Cleaner Production into Industrial Development,ASDB/Sri Lanka
Integrated Water Supply Project,ASDB/Korea
Integrated Water Supply and Sanitation Project,AFDF/Mozambique
Integrated Watershed Development (Hills) Project,IDA/India
Integrated Water Resources Management,ASDB/Timor-Leste
Integrated Water Resources Development of Flores Island,ASDB/Indonesia
Integrated urban services in Satara Prod is-Rosso Project (south-west Mauritania),OPEC/Mauritania
Integrated Urban Project Feasibility Study (Rev.),CDB/Barbados
Integrated Urban Plans and Program Study,ASDB/Kiribati
Integrated Urban Infrastructure,ASDB/China
Integrated Urban Development in Madhya Pradesh,ASDB/India
Integrated Urban Development,ASDB/Cambodia
Integrated Urban Development,ASDB/Tonga
Integrated Urban Development,ASDB/Samoa
Integrated Textbooks Project (02),IBRD/Indonesia
Integrated Tea Development Project,OPEC/Sri Lanka
Integrated Tea Development,ASDB/Sri Lanka
Integrated System of Social Indicators II,IADB/Ecuador
[Integrated support for the education system in Ghor Province],Lithuania/Afghanistan
Integrated Sugar Rehabilitation (On-lending to farmers),CDB/St.Vincent & Grenadines
Integrated Sugar Rehabilitation for Sugar Factory,CDB/St.Vincent & Grenadines
Integrated Strategic Planning,ASDB/Tonga
Integrated Social Sectors Study,ASDB/Cambodia
Integrated Sea Island Cotton,CDB/Montserrat
Integrated Sea Island Cotton,CDB/Montserrat
Integrated Rural Project,AFDB/Swaziland
Integrated Rural Health and Family Planning (IRHFP) Project,IDA/Kenya
Integrated Rural Education,IADB/Haiti
Integrated Rural Development Sur de Loja,IFAD/Ecuador
Integrated Rural Development Sector Project in the Central Provinces,ASDF/Viet Nam
Integrated Rural Development Projects,IADB/Bolivia
Integrated Rural Development Project of M'Bour Louga,IFAD/Senegal
Integrated Rural Development Project Ngozi III,IFAD/Burundi
Integrated Rural Development Project in the Department of Paraguari,IFAD/Paraguay
Integrated Rural Development Project for the Pronorte Region,IFAD/Nicaragua
Integrated Rural -Development Project for the Pronorte Region,OPEC/Nicaragua
Integrated Rural Development Project (03),IDA/Burundi
Integrated Rural Development Project (02),IBRD/Colombia
Integrated Rural Development Project,IDA/Mali
Integrated Rural Development Project,AFDB/Tunisia
Integrated Rural Development Project,Iceland/Mozambique
Integrated Rural Development Project,IBRD/Colombia
Integrated Rural Development Project,Saudi Arabia/Tunisia
Integrated Rural Development Programme Project,Kuwait/Tunisia
Integrated Rural Development - PIDER Project (03),IBRD/Mexico
Integrated Rural Development - PIDER Project (02),IBRD/Mexico
Integrated Rural Development (PIDER) Project,IBRD/Mexico
Integrated Rural Development Papaloapan Project,IBRD/Mexico
Integrated Rural Development of the Middle Plateau,AFESD/South Yemen
Integrated Rural Development of Selected Provinces in Southwest China,ASDB/China
Integrated Rural Development in Salamat Region,BADEA/Chad
Integrated Rural Development in Parana,IADB/Brazil
Integrated Rural Development in N'Gozi (Third Phase),Kuwait/Burundi
Integrated Rural Development in Mono Province,AFDF/Benin
Integrated Rural Development in Forecariah,Saudi Arabia/Guinea
Integrated Rural Development in El-Mekki Region,Kuwait/Niger
Integrated Rural Development in Bahia,IADB/Brazil
Integrated Rural Development for Minority Areas,ASDB/China
Integrated Rural Development (c2),IFAD/Dominica
Integrated Rural Development:,IADB/Ecuador
Integrated Rural Development,IADB/Colombia
Institutional Capacity Building of the National Directorate of Literacy and Adult Education ,Iceland/Mozambique
Institutional Capacity Building in the Area of Climate Change and its preparation for future membership in the EU,Slovakia/Serbia and Montenegro
Institutional Capacity Building for the Prevention,Iceland/Nicaragua
Institutional Capacity Building for Policy Formulation,ASDB/Philippines
Institutional Capacity Building for Good Governance,AFDF/Madagascar
Institutional Capacity Building and Strengthening of Social Influence of Local Governments for Albania. Transfer of Estonian Experience,Estonia/Albania
Institutional Building Project for Good Governance of Public Finance,AFDF/Djibouti
Institutional Building of the Corporate Law Authority and Study of the Mutual Fund Industry,ASDB/Pakistan
Institutional Assistance to the Ministry of Finance and Economic Planning,ASDB/Kiribati
Institutional Assessment of Bangladesh Shilpa Rin Sangstha and Bangladesh Shilpa Bank,ASDB/Bangladesh
Institutional Assessment for Comprehensive Water Resources Management,ASDB/Sri Lanka
Institutional and Technical Strengthening of the National Institute of regulations and quality of Mozambique,Brazil/Mozambique
Institutional and Policy Support in Road Sector,ASDB/Tajikistan
Institutional and Methodological construction of Rural Extension as an strategy to the Sustainable Development in the Family Agriculture in Sao Tome and Principe,Brazil/Sao Tome & Principe
Institutional and Management Strengthening of Heilongjiang Electric Power Co.,ASDB/China
Institutional and Financial Study for Metropolitan Electricity Authority,ASDB/Thailand
Institutional and Financial Strengthening ,CAF/Peru
Institutional and Financial Development of Department of Power,ASDB/Bhutan
Institutional and Credit Support,IADB/Panama
Institutional and Capacity Building Support to the Ministry of Home Affairs,ASDB/Viet Nam
Institute of Policy Analysis and Research III (IPAR III),ACBF/Kenya
Institute of Cardiology and Cardiovascular Surgery,IADB/Argentina
Institute of Behavioural Medicine S.A.L. will serve as the primary mental and behavioral health care provider in Lebanon,IFC/Lebanon
Institute for Arab Language Teaching in Tombouctou,Saudi Arabia/Mali
Instant Coffee Manufacturing (lvoire-Cafe S.A.),AFDB/Cote d'Ivoire
Install undersea pipelines,United States/Brazil
Install new milling equipment to increase capacity for coffee production,IFC/Mozambique
Install nationwide cellular phone system,IFC/Hungary
[Installment Books Restoration National museurn Prague],Liechtenstein/Czech Republic
installing residential water meters for the Mongolian Ministry of Environment,Hungary/Mongolia
Installing Child Education Center. Transfer date. ,Chile/Haiti
Installing Child Education Center. Transfer date. ,Chile/Haiti
Installing Child Education Center (Shipping materials) ,Chile/Haiti
Installing Child Education Center ,Chile/Haiti
Installing Child Education Center ,Chile/Haiti
Install four stations by compressed natural gas producer,IFC/Bolivia
Install compression facilities to extend the life of the Sui natural gas field,IFC/Pakistan
Install compression facilities to extend the life of the Sui natural gas field,IFC/Pakistan
Install co-generation and construct wastewater plants conforming to EU environmental standards to meet future demand for power and steam by the largest privately owned conglomerate,IFC/Turkey
Install cellular phone network,IFC/Mexico
Installation of Transformer Stations (TS)  in the Industrial Cities of  Rif Dimashq,AFESD/Syria
Installation of solar waterheating systems in three hospitals in Grenada,OPEC/UNDP
Installation of solar batteries in a vocational centre for girls and boys,Poland/Rwanda
Installation of Farm Quail Egg Production. Transfer. ,Chile/Colombia
Installation of Child Education Centers. Agreement.,Chile/Haiti
Install a styrene unit and a polystyrene unit in Rio Grande do Sul and acquire an existing ethylbenzene plant to produce the feedstock.,IFC/Brazil
Install a polyester chips plant,IFC/Philippines
Install a new steel galvanizing line with capacity to process cold rolled steel coils into 80,IFC/Kenya
Install and operate three compressed natural gas stations,IFC/Bolivia
Install and operate digital cellular phone network,IFC/Hungary
Install and operate a nationwide digital cellular phone system as the sector is reformed and restructured,IFC/Jordan
Install and operate a national cellular network,IFC/Uganda
Install a fully automated manufacturing plant for the local production of mosquito coils,IFC/Ghana
Inspection and Refurbishment Service for Turbines,United States/Cote d'Ivoire
Insitutional Support,IADB/Dominican Republic
Insitutional Support,IADB/Dominican Republic
Insitutional Support,IADB/El Salvador
Insitutional Support,IADB/Uruguay
Insitutional Support,IADB/Jamaica
Insitutional Support,IADB/Dominican Republic
Insitutional Support,IADB/Nicaragua
Insitutional Support,IADB/Colombia
Insitutional Support,IADB/Honduras
Insituti i Sigurimeve Insig SH.A,IFC/Albania
INSIG,EBRD/Albania
insecticide for Serbia and Montenegro,Hungary/Serbia and Montenegro
insecticide for Bulgaria,Hungary/Bulgaria
Kyrgyz Financial Sector Framework: Kyrgyz Investment and Credit Bank,EBRD/Kyrgyz Republic
kyrgyz economical delegation,Hungary/Kyrgyz Republic
Kyrgyz Agricultural Finance Corporation,EBRD/Kyrgyz Republic
Kyrgyz Agribusiness Company,EBRD/Kyrgyz Republic
[Kyoto Protocol: contribution to the budget in 2005],Liechtenstein/Global
Kyoto Annual Meeting Pre-Event: Asian and Pacific Youth Forum on Sustainable Development,ASDB/Global
Kyotera-Mutukula Road Upgrading Project,AFDF/Uganda
Kyongju Tourism Project,IBRD/Korea
Kyonggi Region Multimodal Transport Project,IBRD/Korea
Kyivstar GSM,EBRD/Ukraine
Kyiv City Transport (PasTrans),EBRD/Ukraine
Kyiv City Transport (Metro),EBRD/Ukraine
Kwidzyn Paper Mill,EBRD/Poland
Kwara State Health,AFDF/Nigeria
Kwangju and Seoul Sewerage Project,IBRD/Korea
Kwale Kilifi Area Development,IFAD/Kenya
Kwale and Kilifi District Development Project,IFAD/Kenya
Kvazar-Micro Corporation BV (KMC),EBRD/Ukraine
Kuzuryu Project,IBRD/Japan
Kuyu Mazar Pumping Station,OPEC/Uzbekistan
(Kuwait Society for the Handicapped) Financing Phase II of the Rehabilitation of the Society's Building,AFESD/Kuwait
(Kuwait Economic Society) First Scientific Conference,AFESD/Kuwait
(Kuwait Economic Society) First Scientific Conference,AFESD/Kuwait
Kutaisi water supply,EBRD/Georgia
Kurunegala Rural Development Project,IDA/Sri Lanka
Kureimat Power Station,AFESD/Egypt
Kureimat Power Project,IBRD/Egypt
Kurdamir-Udjar Road,Kuwait/Azerbaijan
KUPEDES - Rural Banking System Project,IBRD/Indonesia
Kunming Qingshuihai Water Supply,ASDB/China
Kunming-Haiphong Transport Corridor (Supplementary),ASDB/Viet Nam
Kunming-Haiphong Transport Corridor,ASDB/Viet Nam
Kumtor Gold,EBRD/Kyrgyz Republic
KULEKHANI-POWER I SU,IDA/Nepal
Kulekhani Hydroelectric Project,OPEC/Nepal
Kulekhani Hydroelectric Project,IDA/Nepal
Kulekhani Hydro-electric Project,OPEC/Nepal
Kulekhani Dam Project,Kuwait/Nepal
Kulekhani Dam Project,Kuwait/Nepal
Kud Multipurpose,ASDB/Thailand
Kud Multipurpose,ASDB/Thailand
Kuching-Sibu Water Supply,ASDB/Malaysia
Kuching Port Expansion Project,ASDB/Malaysia
KubanAgroProd,EBRD/Russia
Kubaka Gold Project Loan Increase (Restructured),EBRD/Russia
Kubaka Gold Project Loan Increase,EBRD/Russia
Kubaka Gold Project,EBRD/Russia
Kubaka Gold,EBRD/Russia
Kuantan Port,ASDB/Malaysia
Kuala Lumpur Water Supply Project (02),IBRD/Malaysia
Kuala Lumpur Water Supply Project,IBRD/Malaysia
Kuala Lumpur Urban Transport Project (02),IBRD/Malaysia
Kuala Lumpur Urban Transport Project,IBRD/Malaysia
Kuala Lumpur Sewerage Project,IBRD/Malaysia
